School,URL,Street,City,State,CMS
Parkwood Elementary School,https://pes.gcs.k12.in.us/,748 Spicewood Dr,Clarksville,IN,none
Paddock View Residential Center,http://paddockview.org/,1700 E Bradford,Marion,IN,none
Parkview Middle School,http://pvms.gcs.k12.in.us/,1600 Brigman Ave,Jeffersonville,IN,none
Options Charter School Noblesville,https://optionsschools.org/,9945 Cumberland Pointe Blvd,Noblesville,IN,none
Oolitic Middle School,https://www.nlcs.k12.in.us/oljrhi/,903 Hoosier Ave,Oolitic,IN,none
Owensville Community School,https://www.owensville.org/,6569 S SR 65,Owensville,IN,none
Our Lady of Grace School,https://ologs.org/,9900 E 191st St,Noblesville,IN,none
Paramount Community Heights,http://community-heights.paramountindy.org/,350 E Massachusetts Ave # 300,Indianapolis,IN,none
Parker Elementary School,https://www.nccsc.k12.in.us/parker/,1819 Roosevelt,New Castle,IN,none
Our Lady Of Perpetual School,https://olphna.org/,1752 Scheller Ln,New Albany,IN,none
Otwell Miller Academy,https://www.otwellmilleracademy.school/,9958 East County Road 150 N,Otwell,IN,none
Paramount Brookside,http://brookside.paramountindy.org/,3020 Nowland Ave,Indianapolis,IN,none
Olive Township Elementary School,https://www.npusc.k12.in.us/,300 W Ben St,New Carlisle,IN,none
Orleans Jr-Sr High School,http://www.orleans.k12.in.us/,200 W Wilson,Orleans,IN,none
Our Lady Of Lourdes School,http://www.ollindy.org/school-home,30 S Downey Ave,Indianapolis,IN,none
Our Shepherd Lutheran School,http://www.ourshepherd.org/,9201 E County Road 100 N,Avon,IN,none
Orleans Elementary School,http://orleanselementaryschool.weebly.com/,637 E Washington St,Orleans,IN,none
Parkview Primary School,https://www.nlcs.k12.in.us/lincoln/,1701 Brian Lane Way,Bedford,IN,none
Ouabache Elementary School,http://metadot.vigoschools.org/metadot/index.pl?id=2986,501 Maple Ave,Terre Haute,IN,none
Orchard View School,http://www.mcsin-k12.org/ove/,56734 Northridge Dr,Middlebury,IN,none
Our Lady of the Greenwood School,http://www.ol-g.org/,399 S Meridan St,Greenwood,IN,none
Paul Hadley Middle School,https://www.mooresvilleschools.org/schools/phms,200 W Carlisle St,Mooresville,IN,none
Our Lady Of Grace School,http://www.dcgary.org/,3025 Highway Ave,Highland,IN,none
Otter Creek Middle School,http://metadot.vigoschools.org/metadot/index.pl?id=2963,4801 N Lafayette St,Terre Haute,IN,none
Osolo Elementary School,http://elkhart.k12.in.us/home/schools/osolo-elementary-school/,24975 CR 6 E,Elkhart,IN,none
Paul F Boston Middle School,http://www.lpcsc.k12.in.us/hailmann/,1000 Harrison St,LaPorte,IN,none
Paragon Elementary School,https://www.msdofmartinsville.org/paragon-elementary/,PO Box 27,Paragon,IN,none
Our Lady Of Mt Carmel School,http://ourladymtcarmelschool.org/,14596 Oak Ridge,Carmel,IN,none
Parkview Intermediate School,https://www.nlcs.k12.in.us/parkvwi/,2024 W 16th St,Bedford,IN,none
Parkside Elementary School,http://schools.cms.k12.nc.us/parksideES/Pages/Default.aspx,1 LeMaster Cir,LaGrange,IN,none
Our Lady Of Providence High School,https://providencehigh.net/,707 Providence Way,Clarksville,IN,none
Pendleton Juvenile Correctional,https://www.in.gov/idoc/dys/2346.htm,9310 S SR 67,Pendleton,IN,none
Perry Central Elementary School,http://www.pccs.k12.in.us/elementary.html,18677 Old SR 37,Leopold,IN,none
