Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
General Charles G. Harker School - Swedesboro-Woolwich School District,Education,New Jersey Public Records - School Data,General Charles G. Harker School,Swedesboro-Woolwich School District - Gloucester County,Gloucester,None,1771 Oldmans Creek Road,,Woolwich Township,United States,1/25/19 23:56,Brandon Lipman,
George C. Baker Elementary School - Moorestown Township Public School District,Education,New Jersey Public Records - School Data,George C. Baker Elementary School,Moorestown Township Public School District - Burlington County,Burlington,None,139 W Maple Ave,,Moorestown,United States,1/25/19 23:54,Brandon Lipman,
George E. Wilson Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,George E. Wilson Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,600 Park Avenue,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
George G White - Hillsdale School District,Education,New Jersey Public Records - School Data,George G White,Hillsdale School District - Bergen County,Bergen,None,120 Magnolia Ave,,Hillsdale,United States,1/25/19 23:54,Brandon Lipman,
George L. Hess Educational Complex - Hamilton Township School District,Education,New Jersey Public Records - School Data,George L. Hess Educational Complex,Hamilton Township School District - Atlantic County,Atlantic,None,700 Babcock Road,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
George - Pennsauken Township Board Of Education School District,Education,New Jersey Public Records - School Data,George,Pennsauken Township Board Of Education School District - Camden County,Camden,None,3800 Gladwyn Ave,,Pennsauken,United States,1/25/19 23:55,Brandon Lipman,
George Washington Carver Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,George Washington Carver Elementary School,Newark Public School District - Essex County,Essex,None,333 Clinton Pl,,Newark,United States,1/25/19 23:55,Brandon Lipman,
George Washington Carver Institute - East Orange School District,Education,New Jersey Public Records - School Data,George Washington Carver Institute,East Orange School District - Essex County,Essex,None,135 Glenwood Avenue,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
George Washington Elementary School - Union City School District,Education,New Jersey Public Records - School Data,George Washington Elementary School,Union City School District - Hudson County,Hudson,None,3905 New York Ave,,Union City,United States,1/25/19 23:54,Brandon Lipman,
George Washington Elementary School - Wyckoff Township Public School District,Education,New Jersey Public Records - School Data,George Washington Elementary School,Wyckoff Township Public School District - Bergen County,Bergen,None,270 Woodland Ave,,Wyckoff,United States,1/25/19 23:54,Brandon Lipman,
George Washington Middle School - Ridgewood Public School District,Education,New Jersey Public Records - School Data,George Washington Middle School,Ridgewood Public School District - Bergen County,Bergen,None,155 Washington Pl,,Ridgewood,United States,1/25/19 23:54,Brandon Lipman,
George Washington School - Edgewater School District,Education,New Jersey Public Records - School Data,George Washington School,Edgewater School District - Bergen County,Bergen,None,801 Undercliff Ave,,Edgewater,United States,1/25/19 23:54,Brandon Lipman,
George Washington School - Mahwah Township Public School District,Education,New Jersey Public Records - School Data,George Washington School,Mahwah Township Public School District - Bergen County,Bergen,None,39 Fardale Avenue,,Mahwah,United States,1/25/19 23:54,Brandon Lipman,
Geraldine O Foster Early Childhood Center - Bridgeton City School District,Education,New Jersey Public Records - School Data,Geraldine O Foster Early Childhood Center,Bridgeton City School District - Cumberland County,Cumberland,None,550 Buckshutem Road,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
Gertrude C. Folwell Elementary School - Mount Holly Township Public School District,Education,New Jersey Public Records - School Data,Gertrude C. Folwell Elementary School,Mount Holly Township Public School District - Burlington County,Burlington,None,455 Jacksonville Rd,,Mount Holly,United States,1/25/19 23:54,Brandon Lipman,
G.H. Carson Elementary School - Pennsauken Township Board Of Education School District,Education,New Jersey Public Records - School Data,G.H. Carson Elementary School,Pennsauken Township Board Of Education School District - Camden County,Camden,None,4150 Garfield Avenue,,Pennsauken,United States,1/25/19 23:55,Brandon Lipman,
Gibbsboro Elementary School - Gibbsboro Elementary School,Education,New Jersey Public Records - School Data,Gibbsboro Elementary School,Gibbsboro Elementary School - Camden County,Camden,None,37 Kirkwood Rd,,Gibbsboro,United States,1/25/19 23:55,Brandon Lipman,
Gilbert Avenue School - Elmwood Park School District,Education,New Jersey Public Records - School Data,Gilbert Avenue School,Elmwood Park School District - Bergen County,Bergen,None,151 Gilbert Avenue,,Elmwood Park,United States,1/25/19 23:54,Brandon Lipman,
Gilmore J Fisher Middle School - Ewing Township School District,Education,New Jersey Public Records - School Data,Gilmore J Fisher Middle School,Ewing Township School District - Mercer County,Mercer,None,1325 Lower Ferry Road,,Ewing,United States,1/25/19 23:56,Brandon Lipman,
Gladys Nunery School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Gladys Nunery School,Jersey City Public Schools - Hudson County,Hudson,None,123 Claremont Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Glassboro High School - Glassboro School District,Education,New Jersey Public Records - School Data,Glassboro High School,Glassboro School District - Gloucester County,Gloucester,None,560 Joseph L Bowe Blvd,,Glassboro,United States,1/25/19 23:56,Brandon Lipman,
Glassboro Intermediate School - Glassboro School District,Education,New Jersey Public Records - School Data,Glassboro Intermediate School,Glassboro School District - Gloucester County,Gloucester,None,202 N Delsea Dr,,Glassboro,United States,1/25/19 23:56,Brandon Lipman,
Glendora Elementary School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Glendora Elementary School,Gloucester Township Public Schools - Camden County,Camden,None,201 Station Ave,,Glendora,United States,1/25/19 23:55,Brandon Lipman,
Glenfield Middle School - Montclair Public School District,Education,New Jersey Public Records - School Data,Glenfield Middle School,Montclair Public School District - Essex County,Essex,None,25 Maple Ave,,Montclair,United States,1/25/19 23:55,Brandon Lipman,
Glen Landing Middle School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Glen Landing Middle School,Gloucester Township Public Schools - Camden County,Camden,None,85 Little Gloucester Road,,Blackwood,United States,1/25/19 23:55,Brandon Lipman,
Glen Ridge High School - Glen Ridge Public School District,Education,New Jersey Public Records - School Data,Glen Ridge High School,Glen Ridge Public School District - Essex County,Essex,None,200 Ridgewood Ave,,Glen Ridge,United States,1/25/19 23:55,Brandon Lipman,
Glen Rock High School - Glen Rock Public School District,Education,New Jersey Public Records - School Data,Glen Rock High School,Glen Rock Public School District - Bergen County,Bergen,None,400 Hamilton Avenue,,Glen Rock,United States,1/25/19 23:54,Brandon Lipman,
Glen Rock Middle School - Glen Rock Public School District,Education,New Jersey Public Records - School Data,Glen Rock Middle School,Glen Rock Public School District - Bergen County,Bergen,None,600 Harristown Road,,Glen Rock,United States,1/25/19 23:54,Brandon Lipman,
Glen School - Ridgewood Public School District,Education,New Jersey Public Records - School Data,Glen School,Ridgewood Public School District - Bergen County,Bergen,None,865 East Glen Avenue,,Ridgewood,United States,1/25/19 23:54,Brandon Lipman,
Glenview Avenue - Haddon Heights School District,Education,New Jersey Public Records - School Data,Glenview Avenue,Haddon Heights School District - Camden County,Camden,None,1700 Sycamore Street,,Haddon Heights,United States,1/25/19 23:55,Brandon Lipman,
Glenwood Avenue Elementary School - Wildwood City School District,Education,New Jersey Public Records - School Data,Glenwood Avenue Elementary School,Wildwood City School District - Cape May County,Cape May,None,Glenwood & New York Ave,,Wildwood,United States,1/25/19 23:55,Brandon Lipman,
Glenwood School - Millburn Township School District,Education,New Jersey Public Records - School Data,Glenwood School,Millburn Township School District - Essex County,Essex,None,325 Taylor Road South,,Short Hills,United States,1/25/19 23:55,Brandon Lipman,
Gloria M Sabater Elementary School - Vineland Public School District,Education,New Jersey Public Records - School Data,Gloria M Sabater Elementary School,Vineland Public School District - Cumberland County,Cumberland,None,301 South East Blvd,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Gloucester City Jr. Sr. High School - Gloucester City Public School District,Education,New Jersey Public Records - School Data,Gloucester City Jr. Sr. High School,Gloucester City Public School District - Camden County,Camden,None,1300 Market Street,,Gloucester City,United States,1/25/19 23:55,Brandon Lipman,
Gloucester City Middle School - Gloucester City Public School District,Education,New Jersey Public Records - School Data,Gloucester City Middle School,Gloucester City Public School District - Camden County,Camden,None,1300 Market Street,,Gloucester City,United States,1/25/19 23:55,Brandon Lipman,
Gloucester County Institute Of Technology - Gloucester County Vocational-Technical School District,Education,New Jersey Public Records - School Data,Gloucester County Institute Of Technology,Gloucester County Vocational-Technical School District - Gloucester County,Gloucester,None,1360 Tanyard Road,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Gloucester Township Elementary School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Gloucester Township Elementary School,Gloucester Township Public Schools - Camden County,Camden,None,270 South Black Horse Pike,,Blackwood,United States,1/25/19 23:55,Brandon Lipman,
Godwin Elementary School - Midland Park School District,Education,New Jersey Public Records - School Data,Godwin Elementary School,Midland Park School District - Bergen County,Bergen,None,41 E. Center Street,,Midland Park,United States,1/25/19 23:54,Brandon Lipman,
Good Intent Elementary School - Deptford Township Public School District,Education,New Jersey Public Records - School Data,Good Intent Elementary School,Deptford Township Public School District - Gloucester County,Gloucester,None,1555 Good Intent Rd,,Deptford,United States,1/25/19 23:56,Brandon Lipman,
