Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Blackwood Elementary School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Blackwood Elementary School,Gloucester Township Public Schools - Camden County,Camden,None,260 Blenheim Erial Rd,,Blackwood,United States,1/25/19 23:55,Brandon Lipman,
Bloomfield High School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Bloomfield High School,Bloomfield Township School District - Essex County,Essex,None,160 Broad Street,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
Bloomfield Middle School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Bloomfield Middle School,Bloomfield Township School District - Essex County,Essex,None,60 Huck Road,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
Bloomsbury Borough School - Bloomsbury Borough School District,Education,New Jersey Public Records - School Data,Bloomsbury Borough School,Bloomsbury Borough School District - Hunterdon County,Hunterdon,None,20 Main Street,,Bloomsbury,United States,1/25/19 23:56,Brandon Lipman,
Bobby'S Run Elementary School - Lumberton Township Board Of Education,Education,New Jersey Public Records - School Data,Bobby'S Run Elementary School,Lumberton Township Board Of Education - Burlington County,Burlington,None,32 Dimsdale Drive,,Lumberton,United States,1/25/19 23:54,Brandon Lipman,
Bogota Jr./Sr. High School - Bogota Public School District,Education,New Jersey Public Records - School Data,Bogota Jr./Sr. High School,Bogota Public School District - Bergen County,Bergen,None,2 Henry C Luthin Place,,Bogota,United States,1/25/19 23:54,Brandon Lipman,
Bordentown Regional High School - Bordentown Regional School District,Education,New Jersey Public Records - School Data,Bordentown Regional High School,Bordentown Regional School District - Burlington County,Burlington,None,318 Ward Ave,,Bordentown,United States,1/25/19 23:54,Brandon Lipman,
Bordentown Regional Middle School - Bordentown Regional School District,Education,New Jersey Public Records - School Data,Bordentown Regional Middle School,Bordentown Regional School District - Burlington County,Burlington,None,50 Dunns Mill Road,,Bordentown,United States,1/25/19 23:54,Brandon Lipman,
Bradford Elementary School - Montclair Public School District,Education,New Jersey Public Records - School Data,Bradford Elementary School,Montclair Public School District - Essex County,Essex,None,87 Mt Hebron Rd,,Upper Montclair,United States,1/25/19 23:55,Brandon Lipman,
Branch Brook School - Newark Public School District,Education,New Jersey Public Records - School Data,Branch Brook School,Newark Public School District - Essex County,Essex,None,228 Ridge St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Bret Harte Elementary School - Cherry Hill School District,Education,New Jersey Public Records - School Data,Bret Harte Elementary School,Cherry Hill School District - Camden County,Camden,None,1909 Queen Anne Dr.,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
